center,bp_year,assessment_id,assessment_upload_days,assessment_upload_date,implementation_upload_days,implementation_upload_date,page,source_url
AS,2022,AS0526,60,08/15/2022,355,06/06/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0525,57,08/05/2022,358,06/02/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0524,60,07/18/2022,327,04/11/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0523,56,07/14/2022,327,04/11/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0522,59,07/22/2022,343,05/02/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0521,57,07/08/2022,340,04/17/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0520,59,06/20/2022,318,03/06/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0519,61,06/04/2022,331,03/01/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0518,60,05/22/2022,342,02/28/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0517,59,05/09/2022,320,01/24/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0516,59,05/03/2022,369,03/08/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0515,59,01/29/2022,319,10/17/2022,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0514,59,12/11/2021,CnC,09/14/2022,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0513,60,12/28/2021,CnC,02/01/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2023,AS0570,60,02/13/2024,CnC,12/06/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0569,60,02/13/2024,282,09/23/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0568,56,01/12/2024,CnC,10/17/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0567,60,01/09/2024,346,10/22/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0566,56,12/22/2023,276,07/29/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0565,52,11/17/2023,351,09/11/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0564,60,10/30/2023,340,08/05/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0563,58,10/12/2023,352,08/01/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0562,48,09/25/2023,289,05/23/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0561,59,09/15/2023,310,05/23/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0560,60,09/15/2023,287,04/29/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0559,56,08/22/2023,CnC,05/23/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0558,60,08/21/2023,354,06/10/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0557,60,08/15/2023,312,04/23/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0556,59,08/03/2023,CnC,05/06/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0555,59,08/03/2023,CnC,05/06/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0554,56,07/27/2023,322,04/18/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0553,60,07/25/2023,CnC,04/19/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0552,55,05/25/2023,293,01/18/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0551,56,05/26/2023,294,01/19/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0550,49,05/19/2023,293,01/18/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0549,49,05/19/2023,293,01/18/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0548,51,05/12/2023,303,01/19/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0547,58,04/24/2023,CnC,02/02/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0546,53,04/11/2023,336,01/18/2024,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0545,57,04/13/2023,309,12/20/2023,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0544,60,03/06/2023,341,12/12/2023,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0543,55,02/28/2023,330,11/30/2023,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2023,AS0542,56,03/01/2023,335,12/05/2023,1,https://iac.university/center/AS/internal/activity-log/BP2023
AS,2024,AS0598,59,12/23/2024,CnC,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0597,56,12/20/2024,465+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0596,63,12/31/2024,461+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0595,55,12/12/2024,CnC,12/05/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0594,58,11/15/2024,502+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0593,60,12/10/2024,479+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0592,55,11/20/2024,494+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0591,60,10/19/2024,531+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0590,60,10/18/2024,CnC,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0589,58,09/20/2024,CnC,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0588,60,09/13/2024,567+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0587,58,09/05/2024,573+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0586,63,09/10/2024,573+,,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0585,57,08/16/2024,CnC,12/17/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0584,59,08/02/2024,287,03/18/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0583,60,08/02/2024,CnC,05/08/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0582,51,07/11/2024,266,02/11/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0581,59,07/12/2024,274,02/12/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0580,60,07/08/2024,CnC,04/24/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0579,60,06/08/2024,374,04/18/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0578,60,06/03/2024,CnC,04/24/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0577,59,04/22/2024,CnC,01/31/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0576,58,04/19/2024,346,01/31/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0575,75,04/25/2024,CnC,01/31/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0574,58,03/29/2024,CnC,01/31/2025,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0573,58,03/25/2024,300,11/21/2024,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0572,59,03/25/2024,328,12/18/2024,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2024,AS0571,58,04/15/2024,308,12/20/2024,1,https://iac.university/center/AS/internal/activity-log/BP2024
AS,2025,AS0611,59,05/26/2025,311+,,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0610,55,05/07/2025,326+,,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0609,57,05/10/2025,321,01/29/2026,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0608,54,04/23/2025,335,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0607,45,03/25/2025,CnC,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0606,51,03/31/2025,CnC,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0605,47,03/20/2025,314,12/11/2025,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0604,56,03/04/2025,339,12/12/2025,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0603,58,03/17/2025,CnC,01/28/2026,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0602,57,03/07/2025,342,12/17/2025,1,https://iac.university/center/AS/internal/activity-log/BP2025
AS,2025,AS0601,50,02/27/2025,390+,,1,https://iac.university/center/AS/internal/activity-log/BP2025
